Source,Target
ACN,ABT
ALXN,AGN
AMGN,AAPL
AMP,ABC
AON,AEP
AVB,AMP
AYI,AAL
AZO,AEP
BA,AMGN
BA,ARNC
BA,AXP
BAC,AEP
BIIB,A
BIIB,AAP
BK,ABT
BSX,AET
BSX,AES
BSX,BAX
BWA,BMY
BWA,BAX
BXP,NWSA
CA,ADP
CAG,AVY
CAH,AEP
CAT,BA
CAT,ABT
CBS,BAC
CCI,AIV
CCL,BAC
CCL,AVB
CELG,CAH
CFG,AIZ
CHTR,DISCA
CI,CERN
CI,ABC
CL,AAL
CL,AET
CL,ADSK
CLX,BEN
CLX,ADBE
CLX,AMP
CMCSA.O,BK
CMCSA.O,C
CMI,BLL
CNC,BCR
COF,ANTM
COH,AMG
COO,BDX
CSCO,ALXN
CSCO,GOOGL
CSCO,ADSK
CSX,AEE
CTSH,BBY
CVS,BCR
CVS,COH
CXO,BHI
DAL,CBG
DD,CMCSA.O
DD,BMY
DD,CMI
DE,CAH
DFS,CAG
DFS,AON
DG,ACN
DG,AZO
DGX,BCR
DIS,AAPL
DISCK,DISCA
DLPH,BK
DLPH,ARNC
DNB,CCI
DOW,AAPL
DOW,AIG
DRI,AAP
DTE,DOW
DUK,BA
DUK,CVX
DVA,C
EBAY,ADBE
EBAY,ALL
ECL,AN
EFX,COP
EFX,CTXS
EFX,AMP
EL,CAG
EL,AXP
EL,BLK
EL,CPB
EMN,ALB
EMN,COF
EMR,C
EMR,APD
ENDP,ECL
EQIX,AMT
EQIX,CTXS
ESRX,DVA
ESS,EQIX
EXC,COF
EXC,AVY
F,CAG
F,AYI
F,CAT
FB,DIS
FBHS,COF
FBHS,CLX
FBHS,AYI
FDX,COL
FDX,CHK
FE,BLL
FE,AWK
FE,BWA
FFIV,EQIX
FFIV,CTSH
FITB,AEP
FLR,AVY
FLR,APC
FLR,EMR
FLS,BHI
FLS,DOW
FOX,NWSA
FOX,FOXA
FSLR,BAC
FTI,BHI
FTI,DOW
FTI,FLR
FTR,AMT
FTR,EQR
FTV,DHR
GD,ABBV
GE,EQT
GE,CTSH
GE,AAPL
GGP,EQR
GILD,ANTM
GIS,GOOGL
GIS,CI
GLW,AMZN
GLW,ADP
GLW,EXC
GM,ARNC
GM,ADP
GM,GD
GM,BLL
GM,BK
GM,GE
GOOG,GOOGL
GPN,CAG
GPN,CI
GT,BAX
GT,ESRX
GWW,ETR
GWW,ADI
GWW,CTL
HAL,FLR
