Source,Target
MMM,Inge Thulin_62,1
MMM,Hak Shin_58,1
MMM,Michael Eskew_66,1
MMM,Sondra Barbour_53,1
MMM,Thomas Brown_60,1
MMM,Vance Coffman_72,1
MMM,David Dillon_65,1
MMM,Herbert Henkel_67,1
MMM,Muhtar Kent_63,1
MMM,Edward Liddy_70,1
MMM,Gregory Page_64,1
MMM,Patricia Woertz_63,1
ABT,Miles White_61,1
ABT,Robert Alpern_65,1
ABT,Roxanne Austin_55,1
ABT,Edward Liddy_70,1
ABT,Nancy McKinstry_57,1
ABT,Phebe Novakovic_58,1
ABT,William Osborn_68,1
ABT,Samuel Scott_71,1
ABT,Glenn Tilton_67,1
ABBV,Laura Schumacher_52,1
ABBV,Robert Alpern_65,1
ABBV,Roxanne Austin_55,1
ABBV,Edward Liddy_70,1
ABBV,Glenn Tilton_67,1
ABBV,Frederick Waddell_62,1
ACN,Marjorie Magner_67,1
ACN,Dina Dublon_63,1
ACN,William Kimsey_73,1
ACN,Blythe McGarvie_59,1
ACN,Nancy McKinstry_57,1
ACN,Paula Price_54,1
ACN,Arun Sarin_61,1
ATVI,Robert Kotick_53,1
AYI,James Hance_71,1
AYI,Ray Robinson_68,1
AYI,Norman Wesley_66,1
ADBE,Shantanu Narayen_52,1
ADBE,Ann Lewnes_54,1
ADBE,Amy Banse_57,1
ADBE,Edward Barnholt_72,1
ADBE,Robert Burgess_58,1
ADBE,Frank Calderoni_58,1
AAP,Jeffrey Smith_43,1
AAP,John Bergstrom_69,1
AAP,John Ferraro_60,1
AAP,Adriana Karaboutis_53,1
AAP,Eugene Lee_54,1
AES,Andres Gluski Weilert_58,1
AES,Kristina Johnson_58,1
AES,Holly Koeppel_57,1
AES,Philip Lader_70,1
AES,John Morse_69,1
AET,Mark Bertolini_59,1
AET,Karen Lynch_53,1
AET,Edward Ludwig_64,1
AET,Frank Clark_70,1
AET,Roger Farah_63,1
AET,Jeffrey Garten_69,1
AET,Ellen Hancock_73,1
AET,Richard Harrington_69,1
AET,Olympia Snowe_69,1
AFL,Kriss Cloninger_68,1
AFL,W. Paul Bowers_59,1
AMG,Jide Zeitlin_52,1
A,James Cullen_73,1
A,George Scangos_68,1
APD,Chadwick Deaton_63,1
APD,Susan Carter_57,1
APD,Margaret McGlynn_56,1
APD,Edward Monser_65,1
AKAM,George Conrades_77,1
AKAM,Frederic Salerno_72,1
AKAM,Daniel Hesse_63,1
AKAM,Pamela Craig_59,1
AKAM,Jill Greenthal_59,1
AKAM,Jonathan Miller_59,1
AKAM,Naomi Seligman_77,1
ALK,Bradley Tilden_55,1
ALK,Phyllis Campbell_64,1
ALK,Patricia Bedient_62,1
ALK,James Thompson_64,1
ALB,Jimmy Nokes_69,1
ALB,William Hernandez_68,1
ALB,James O'Brien_61,1
AGN,Christopher Coughlin_63,1
AGN,Paul Bisaro_55,1
LNT,Patrick Allen_51,1
LNT,Singleton McAllister_63,1
ALXN,M. Michele Burns_58,1
ALXN,Christopher Coughlin_63,1
ALLE,Kirk Hachigian_56,1
ALL,Thomas Wilson_58,1
ALL,Suren Gupta_55,1
ALL,Perry Traquina_60,1
ALL,Michael Eskew_66,1
ALL,Herbert Henkel_67,1
ALL,John Rowe_70,1
ALL,Judith Sprieser_62,1
GOOGL,Eric Schmidt_60,1
GOOGL,Sergey Brin_43,1
GOOGL,Lawrence Page_43,1
GOOGL,Ruth Porat_58,1
GOOGL,Sundar Pichai_44,1
GOOGL,David Drummond_53,1
GOOGL,John Hennessy_63,1
GOOGL,L. John Doerr_64,1
GOOGL,Roger Ferguson_64,1
GOOGL,Diane Greene_60,1
GOOGL,Ann Mather_56,1
GOOGL,Alan Mulally_70,1
GOOGL,Paul Otellini_65,1
GOOGL,Kavitark Shriram_59,1
GOOGL,Shirley Tilghman_69,1
GOOG,Eric Schmidt_60,1
GOOG,Sergey Brin_43,1
GOOG,Lawrence Page_43,1
GOOG,Ruth Porat_58,1
GOOG,Sundar Pichai_44,1
GOOG,David Drummond_53,1
GOOG,John Hennessy_63,1
GOOG,L. John Doerr_64,1
GOOG,Roger Ferguson_64,1
GOOG,Diane Greene_60,1
GOOG,Ann Mather_56,1
GOOG,Alan Mulally_70,1
GOOG,Paul Otellini_65,1
GOOG,Kavitark Shriram_59,1
GOOG,Shirley Tilghman_69,1
MO,Thomas Farrell_61,1
MO,Debra Kelly-Ennis_59,1
AMZN,Daniel Huttenlocher_57,1
AMZN,Wendell Weeks_56,1
AMZN,Jamie Gorelick_65,1
AEE,Warner Baxter_54,1
AEE,Ellen Fitzsimmons_55,1
AEE,James Johnson_63,1
AAL,John Cahill_58,1
AAL,Martin Nesbitt_53,1
AAL,Denise O'Leary_58,1
AAL,Ray Robinson_68,1
AEP,Nicholas Akins_55,1
AEP,David Anderson_66,1
AEP,Linda Goodspeed_54,1
AEP,Richard Notebaert_68,1
AEP,Lionel Nowell_61,1
AEP,Sara Tucker_60,1
AXP,Kenneth Chenault_64,1
AXP,Anre Williams_50,1
AXP,Robert Walter_70,1
AXP,Charlene Barshefsky_65,1
AXP,Ursula Burns_57,1
AXP,Michael Leavitt_65,1
AXP,Samuel Palmisano_64,1
AXP,Daniel Vasella_63,1
AXP,Ronald Williams_66,1
AIG,W. Don Cornwell_68,1
AIG,George Miles_74,1
AIG,Henry Miller_70,1
AIG,Robert Miller_74,1
AIG,Linda Mills_66,1
AIG,Suzanne Nora Johnson_58,1
AMT,Thomas Bartlett_57,1
AMT,Pamela Reeve_66,1
AMT,JoAnn Reed_60,1
AWK,George MacKenzie_67,1
AWK,Veronica Hagen_70,1
AWK,Julia Johnson_53,1
AMP,Christopher Williams_58,1
AMP,Lon Greenberg_65,1
AMP,Siri Marshall_67,1
AMP,Jeffrey Noddle_69,1
AMP,H. Jay Sarles_70,1
ABC,Jane Henney_68,1
ABC,Ornella Barra_62,1
ABC,D. Mark Durcan_54,1
ABC,Lon Greenberg_65,1
ABC,Henry McGee_63,1
AME,Dennis Williams_70,1
AMGN,Robert Bradway_53,1
AMGN,Vance Coffman_72,1
AMGN,Fred Hassan_70,1
AMGN,Ellen Kullman_60,1
AMGN,Frank Biondi_71,1
AMGN,Robert Eckert_61,1
AMGN,Gregory Garland_58,1
AMGN,Frank Herringer_73,1
AMGN,Tyler Jacks_55,1
AMGN,Judith Pelham_70,1
AMGN,Ronald Sugar_67,1
AMGN,R. Sanders Williams_67,1
APH,David Falck_63,1
APC,Kevin Chilton_61,1
APC,H. Paulett Eberhart_62,1
APC,Peter Fluor_68,1
APC,Joseph Gorder_58,1
APC,Eric Mullins_52,1
ADI,Richard Beyer_67,1
ADI,Neil Novich_61,1
ADI,Kenton Sicchitano_71,1
ANTM,Wayne DeVeydt_46,1
ANTM,Martin Silverstein_48,1
ANTM,Lewis Hay_60,1
ANTM,Elizabeth Tallett_66,1
AON,Gregory Case_53,1
AON,J. Michael Losh_69,1
AON,Robert Morrison_74,1
AON,Richard Myers_74,1
AON,Richard Notebaert_68,1
AON,Gloria Santona_65,1
AON,Carolyn Woo_62,1
APA,John Lowe_57,1
APA,Annell Bay_60,1
APA,Peter Ragauss_58,1
AIV,J. Landis Martin_70,1
AAPL,Timothy Cook_55,1
AAPL,James Bell_67,1
AAPL,Robert Iger_65,1
AAPL,Andrea Jung_57,1
AAPL,Ronald Sugar_67,1
AMAT,Judy Bruner_58,1
AMAT,Dennis Powell_68,1
ADM,Juan Luciano_54,1
ADM,Ray Young_54,1
ADM,Donald Felsinger_68,1
ADM,Alan Boeckmann_67,1
ADM,Terrel Crews_60,1
ARNC,Klaus Kleinfeld_58,1
ARNC,Patricia Russo_64,1
ARNC,Arthur Collins_68,1
ARNC,Sean Mahoney_53,1
ARNC,John Plant_62,1
ARNC,Leo Reif_65,1
AJG,Sherry Barrat_66,1
AJG,Ralph Nicoletti_58,1
AIZ,Alan Colberg_54,1
AIZ,Charles Koch_69,1
T,Randall Stephenson_55,1
T,John Stankey_53,1
T,Samuel Di Piazza_65,1
T,Glenn Hutchins_60,1
T,William Kennard_59,1
T,Michael McCallister_63,1
T,Beth Mooney_61,1
T,Joyce Roche_69,1
T,Matthew Rose_56,1
T,Laura Tyson_68,1
T,Geoff Yang_,1
ADSK,Carl Bass_58,1
ADSK,Richard Hill_64,1
ADSK,Lorrie Norrington_56,1
ADSK,Steven West_60,1
ADP,William Ready_36,1
ADP,Sandra Wijnberg_59,1
ADP,Richard Clark_69,1
ADP,Eric Fast_66,1
ADP,Linda Gooden_63,1
ADP,Michael Gregoire_50,1
ADP,Robert Hubbard_57,1
AN,Michael Larson_56,1
AN,Tomago Collins_44,1
AN,David Edelson_56,1
AZO,William Rhodes_50,1
AZO,Douglas Brooks_63,1
AZO,Linda Goodspeed_54,1
AZO,George Mrkonic_64,1
AZO,Luis Nieto_60,1
AVB,Timothy Naughton_54,1
AVB,Alan Buckelew_67,1
AVB,Ronald Havner_58,1
AVB,H. Jay Sarles_70,1
AVB,W. Edward Walter_60,1
AVY,Dean Scarborough_60,1
AVY,Bradley Alford_59,1
AVY,Anthony Anderson_60,1
AVY,Peter Barker_67,1
AVY,Patrick Siewert_60,1
BHI,Richard Williams_50,1
BHI,Gregory Brenneman_54,1
BHI,Clarence Cazalot_65,1
BHI,William Easter_66,1
BHI,Lynn Elsenhans_59,1
BLL,Theodore Solso_69,1
BLL,R. David Hoover_70,1
BLL,Michael Cave_55,1
BLL,Georgia Nelson_66,1
BLL,George Smart_70,1
BAC,Sharon Allen_64,1
BAC,Arnold Donald_61,1
BAC,Charles Gifford_73,1
BAC,Linda Hudson_65,1
BAC,Monica Lozano_59,1
BAC,Thomas May_68,1
BAC,Lionel Nowell_61,1
BAC,Robert Yost_68,1
BK,Gerald Hassell_64,1
BK,Nicholas Donofrio_70,1
BK,Joseph Echevarria_59,1
BK,Edward Garden_54,1
BK,John Luke_67,1
BK,Samuel Scott_71,1
BK,Jane Mendillo_57,1
BCR,Timothy Ring_58,1
BCR,Robert Davis_49,1
BCR,Herbert Henkel_67,1
BCR,Tommy Thompson_74,1
BCR,Anthony Welters_61,1
BCR,Tony White_69,1
BAX,Peter Hellman_66,1
BAX,Thomas Chen_66,1
BAX,Michael Mahoney_51,1
BAX,Thomas Stallkamp_69,1
BAX,Albert Stroucken_68,1
BDX,William Kozy_63,1
BDX,Gary Cohen_56,1
BDX,Basil Anderson_70,1
