Source,Target
MMM,Inge Thulin_62
MMM,Hak Shin_58
MMM,Michael Eskew_66
MMM,Sondra Barbour_53
MMM,Thomas Brown_60
MMM,Vance Coffman_72
MMM,David Dillon_65
MMM,Herbert Henkel_67
MMM,Muhtar Kent_63
MMM,Edward Liddy_70
MMM,Gregory Page_64
MMM,Patricia Woertz_63
ABT,Miles White_61
ABT,Robert Alpern_65
ABT,Roxanne Austin_55
ABT,Edward Liddy_70
ABT,Nancy McKinstry_57
ABT,Phebe Novakovic_58
ABT,William Osborn_68
ABT,Samuel Scott_71
ABT,Glenn Tilton_67
ABBV,Laura Schumacher_52
ABBV,Robert Alpern_65
ABBV,Roxanne Austin_55
ABBV,Edward Liddy_70
ABBV,Glenn Tilton_67
ABBV,Frederick Waddell_62
ACN,Marjorie Magner_67
ACN,Dina Dublon_63
ACN,William Kimsey_73
ACN,Blythe McGarvie_59
ACN,Nancy McKinstry_57
ACN,Paula Price_54
ACN,Arun Sarin_61
ATVI,Robert Kotick_53
AYI,James Hance_71
AYI,Ray Robinson_68
AYI,Norman Wesley_66
ADBE,Shantanu Narayen_52
ADBE,Ann Lewnes_54
ADBE,Amy Banse_57
ADBE,Edward Barnholt_72
ADBE,Robert Burgess_58
ADBE,Frank Calderoni_58
AAP,Jeffrey Smith_43
AAP,John Bergstrom_69
AAP,John Ferraro_60
AAP,Adriana Karaboutis_53
AAP,Eugene Lee_54
AES,Andres Gluski Weilert_58
AES,Kristina Johnson_58
AES,Holly Koeppel_57
AES,Philip Lader_70
AES,John Morse_69
AET,Mark Bertolini_59
AET,Karen Lynch_53
AET,Edward Ludwig_64
AET,Frank Clark_70
AET,Roger Farah_63
AET,Jeffrey Garten_69
AET,Ellen Hancock_73
AET,Richard Harrington_69
AET,Olympia Snowe_69
AFL,Kriss Cloninger_68
AFL,W. Paul Bowers_59
AMG,Jide Zeitlin_52
A,James Cullen_73
A,George Scangos_68
APD,Chadwick Deaton_63
APD,Susan Carter_57
APD,Margaret McGlynn_56
